sample_name	animal_id	barcodeid	captive_wild	collection_timestamp	collector	common_name	corrected_species_name	country	dataset	description	diet_category_12	diet_category_3	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	group_id	group_individual_id	healthy	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scietific_nam	host_subject_id	latitude	life_stage	longitude	ncbi_taxon_id	oldsampleid	physical_specimen_location	physical_specimen_remaining	preservative	qiita_study_id	sample	sample_type	scientific_name	sex	species_name	taxon_id	taxonomy_species	class	order	family	genus
11166.NATL.24396.grosbeak		24396	captive	10/23/2015	National Zoo	goldenbellied grosbeak	Pheucticus chrysogaster	USA	National	NATL.24396.grosbeak gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	natl.goldenbelliedgrosbeak.exh5	natl.goldenbelliedgrosbeak.exh5.4	unknown	UBERON:feces	UBERON:feces	UBERON:feces	goldenbellied grosbeak	not collected	Pheucticus chrysogaster		32.84	unknown	-117.25	1622137	NATL.24396	UCSDMI	False	none	11166	NATL.24396	feces	gut metagenome	not collected	Pheucticus chrysogaster	749906	Pheucticus chrysogaster	Aves	Passeriformes	Cardinalidae	Pheucticus
11166.NATL.24397.raven	216124.dichali	24397	captive	10/21/2015	National Zoo	common raven	Corvus corax	USA	National	NATL.24397.raven gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	common raven	not collected	Corvus corax	natl.216124.dichali	32.84	unknown	-117.25	56781	NATL.24397	UCSDMI	False	none	11166	NATL.24397	feces	gut metagenome	not collected	Corvus corax	749906	Corvus corax	Aves	Passeriformes	Corvidae	Corvus
11166.NATL.24398.duck		24398	captive	10/21/2015	National Zoo	mandarin duck	Aix galericulata	USA	National	NATL.24398.duck gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	natl.mandarinduck.exh5	natl.mandarinduck.exh5	unknown	UBERON:feces	UBERON:feces	UBERON:feces	mandarin duck	not collected	Aix galericulata		32.84	unknown	-117.25	8832	NATL.24398	UCSDMI	False	none	11166	NATL.24398	feces	gut metagenome	not collected	Aix galericulata	749906	Aix galericulata	Aves	Anseriformes	Anatidae	Aix
11166.NATL.24580.degu	115017	24580	captive	10/20/2015	National Zoo	degu	Octodon degus	USA	National	NATL.24580.degu gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	degu	not collected	Octodon degus	natl.115017	32.84	unknown	-117.25	10160	NATL.24580	UCSDMI	False	none	11166	NATL.24580	feces	gut metagenome	not collected	Octodon degus	749906	Octodon degus	Mammalia	Rodentia	Octodontidae	Octodon
11166.NATL.24586.tenrec	24586	24586	captive	10/23/2015	National Zoo	lesser tenrec	Echinops telfairi	USA	National	NATL.24586.tenrec gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	lesser tenrec	not collected	Echinops telfairi	natl.24586	32.84	unknown	-117.25	9371	NATL.24586	UCSDMI	False	none	11166	NATL.24586	feces	gut metagenome	not collected	Echinops telfairi	749906	Echinops telfairi	Mammalia	Squamata	Tenrecidae	Echinops
11166.NATL.24589.shrew	115041.penelope	24589	captive	10/20/2015	National Zoo	shorteared elephant shrew	Macroscelides proboscideus	USA	National	NATL.24589.shrew gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	shorteared elephant shrew	not collected	Macroscelides proboscideus	natl.115041.penelope	32.84	unknown	-117.25	29082	NATL.24589	UCSDMI	False	none	11166	NATL.24589	feces	gut metagenome	not collected	Macroscelides proboscideus	749906	Macroscelides proboscideus	Mammalia	Macroscelidea	Macroscelididae	Macroscelides
11166.NATL.24590.rat		24590	captive	10/22/2015	National Zoo	damarland mole rat	Fukomys damarensis	USA	National	NATL.24590.rat gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	natl.damarlandmolerat.exh20	natl.damarlandmolerat.exh20.2	unknown	UBERON:feces	UBERON:feces	UBERON:feces	Damara mole-rat	not collected	Fukomys damarensis		32.84	unknown	-117.25	885580	NATL.24590	UCSDMI	False	none	11166	NATL.24590	feces	gut metagenome	not collected	Cryptomys damarensis	749906	Fukomys damarensis	Mammalia			
11166.NATL.24591.hornbill	216441 or 216442	24591	captive	10/22/2015	National Zoo	van der deckens hornbill	Tockus deckeni	USA	National	NATL.24591.hornbill gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	natl.vanderdeckenshornbill	natl.vanderdeckenshornbill.1	unknown	UBERON:feces	UBERON:feces	UBERON:feces	Van Der Deckens hornbill	not collected	Tockus deckeni		32.84	unknown	-117.25	175819	NATL.24591	UCSDMI	False	none	11166	NATL.24591	feces	gut metagenome	not collected	Tockus deckeni	749906	Tockus deckeni	Aves	Bucerotiformes	Bucerotidae	Tockus
11166.NATL.24621.nakedmolerat		24621	captive	10/22/2015	National Zoo	naked mole rat	Heterocephalus glaber	USA	National	NATL.24621.nakedmolerat gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	natl.nakedmolerat.ColonyD	natl.nakedmolerat.ColonyD.2	unknown	UBERON:feces	UBERON:feces	UBERON:feces	naked mole rat	not collected	Heterocephalus glaber	natl.nakedcolony.d	32.84	unknown	-117.25	10181	NATL.24621	UCSDMI	False	none	11166	NATL.24621	feces	gut metagenome	not collected	Heterocephalus glaber	749906	Heterocephalus glaber	Mammalia	Rodentia	Bathyergidae	Heterocephalus
11166.NATL.24622.squirrel	113977	24622	captive	10/22/2015	National Zoo	prevosts squirrel	Callosciurus prevosti	USA	National	NATL.24622.squirrel gut sample	omnivore	omnivore	True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	Prevosts squirrel	not collected	Callosciurus prevosti	natl.113977	32.84	unknown	-117.25	64676	NATL.24622	UCSDMI	False	none	11166	NATL.24622	feces	gut metagenome	not collected	Callosciurus prevosti	749906	Callosciurus prevostii	Mammalia	Rodentia	Sciuridae	Callosciurus
11166.NATL.24625.shrew	115198	24625	captive	10/22/2015	National Zoo	shorteared elephant shrew	Macroscelides proboscideus	USA	National	NATL.24625.shrew gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	shorteared elephant shrew	not collected	Macroscelides proboscideus	natl.115198	32.84	unknown	-117.25	29082	NATL.24625	UCSDMI	False	none	11166	NATL.24625	feces	gut metagenome	not collected	Macroscelides proboscideus	749906	Macroscelides proboscideus	Mammalia	Macroscelidea	Macroscelididae	Macroscelides
